House #,Total_Bathrooms,AC,Num_Units,Total_Rooms,Bedrooms,Remodel_10_Years,Sale_Date,Price,Sale_Num,Square_Footage,Condition,Exterior_Wall,Roof,Interior_Wall,Kitchens,Fireplaces,Land_Area,Census_track,grade_5_english_75_N,grade_5_english_25_N,grade_5_math_75_N,grade_5_math_25_N,grade_8_english_75_N,grade_8_english_25_N,grade_8_math_75_N,grade_8_math_25_N,grade_9_12_english_75_N,grade_9_12_english_25_N,grade_9_12_math_75_N,grade_9_12_math_25_N,Starbucks_count_N,McDonalds_count_N,Population_size,Percent_White,Percent_Black,Percent_AmInd,Percent_Asian,Percent_HI_PI,Percent_Other_mixed,Percent_Hispanic,Percent_18plus,Total_Housing_Units,Percent_Occupied,Percent_Vacant,FAGI_Total,FAGI_Median
369,4,Y,4,16,8,0,2/19/16 0:00,1120160,3,2928,Average,Common Brick,Metal- Sms,Hardwood,4,0,2200,5500,0,1,1,1,1,1,0,0,0.5,0.5,0.5,0.5,16.25133535,0,6671,0.769749663,0.09413881,0.002698246,0.088442512,0.000149903,0.046919502,0.073901964,0.970769,4983,0.839855509,0.160144491,536412412,81726
370,2,N,1,6,6,1,2/19/16 0:00,1250000,6,1076,Good,Brick/Stucco,Metal- Sms,Hardwood,1,0,2250,300,0,0,0,0,0,0,0,0,0,0,0,0,2.533617943,0,6233,0.881918819,0.022300658,0.0017648,0.056473608,0.000160436,0.039467351,0.0648163,0.889138457,2912,0.945741758,0.054258242,358002514,70413
371,2,N,1,7,6,1,2/19/16 0:00,1250000,5,1044,Good,Common Brick,Built Up,Hardwood,1,0,2250,300,0,0,0,0,0,0,0,0,0,0,0,0,2.533617943,0,6233,0.881918819,0.022300658,0.0017648,0.056473608,0.000160436,0.039467351,0.0648163,0.889138457,2912,0.945741758,0.054258242,358002514,70413
372,4.5,Y,1,12,4,0,2/19/16 0:00,1870000,2,1855,Very Good,Common Brick,Slate,Hardwood,1,0,5000,800.01,0,0,0,0,0,0,0,0,0,0,0,0,1.683999753,0,6709,0.852437025,0.047100909,0.000745268,0.055746013,0.000149054,0.045461321,0.085258608,0.848263527,3528,0.909013605,0.090986395,762051697,122703
373,2.5,Y,1,7,4,1,2/19/16 0:00,809900,6,1712,Average,Common Brick,Comp Shingle,Hardwood,1,1,5755,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5911,0.8250719,0.10878024,0.001184233,0.024530536,0.000338352,0.044154965,0.051429538,0.739468787,2126,0.97883349,0.02116651,623341016,165589
374,2.5,Y,1,9,4,1,2/19/16 0:00,1125000,3,1858,Good,Common Brick,Metal- Sms,Hardwood,1,0,1908,2800.02,0,0,0,0,0,0.5,0,0,0,0,0,0,11.35888241,0,4277,0.409866729,0.249941548,0.011924246,0.042319383,0.000467617,0.266074351,0.430909516,0.8342296,2142,0.903361345,0.096638655,111655848,34182
375,3,Y,1,10,5,1,2/19/16 0:00,780000,3,2876,Good,Wood Siding,Comp Shingle,Hardwood,1,2,7292,2000.02,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,3813,0.204038815,0.602412798,0.00367165,0.014162077,0.002360346,0.178599528,0.208234986,0.785208497,1436,0.928969359,0.071030641,137968594,39738.5
376,2,N,1,6,3,1,2/19/16 0:00,435000,3,1420,Average,Common Brick,Metal- Sms,Hardwood,1,0,1125,2200.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3087,0.092322643,0.70521542,0.008422417,0.009070295,0.000323939,0.196307094,0.209912536,0.790411403,1434,0.887029289,0.112970711,76191464,34486
377,1.5,Y,1,6,3,1,2/19/16 0:00,470750,5,1322,Good,Common Brick,Built Up,Hardwood,1,0,2488,2100.02,1,2,1,2,1,2,2,2,0.25,0.25,0.25,0.25,0,0,4648,0.085628227,0.770869191,0.003227194,0.00580895,0,0.145223752,0.155765921,0.785714286,2173,0.874367234,0.125632766,130031411,38248
378,1.5,Y,1,4,2,1,2/19/16 0:00,417600,5,840,Good,Common Brick,Metal- Sms,Hardwood,1,0,1270,8900.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633,0.018230156,0.946828712,0.00151918,0.002658564,0,0.039118876,0.025446259,0.756551462,1399,0.822015726,0.177984274,61273301,33866
379,1,N,1,5,2,0,2/19/16 0:00,345000,3,960,Average,Common Brick,Built Up,Hardwood,1,0,1232,8900.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633,0.018230156,0.946828712,0.00151918,0.002658564,0,0.039118876,0.025446259,0.756551462,1399,0.822015726,0.177984274,61273301,33866
380,3.5,Y,1,6,3,0,2/19/16 0:00,574995,2,1620,Excellent,Face Brick,Comp Shingle,Hardwood,1,0,957,11100,0,0,0,0,0,1,0,1,0,0.166666667,0,0.166666667,0,0.427335794,4859,0.06626878,0.862728957,0.004939288,0.003087055,0.000205804,0.07470673,0.069355835,0.811895452,1868,0.924518201,0.075481799,122414153,42315
381,1.5,N,1,6,3,0,2/19/16 0:00,128000,3,1364,Average,Common Brick,Comp Shingle,Hardwood,1,0,2725,7800.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2922,0.019849418,0.947296372,0.003080082,0.001368925,0,0.034565366,0.029431896,0.728610541,1339,0.847647498,0.152352502,48307774,28461
382,2,Y,1,6,3,1,2/19/16 0:00,320000,3,1276,Average,Common Brick,Comp Shingle,Hardwood,1,1,2500,7600.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3644,0.040614709,0.936059276,0.002744237,0.002744237,0.000274424,0.024698134,0.016190999,0.818331504,1931,0.906266183,0.093733817,94079938,38093.5
383,2.5,N,2,6,3,0,2/19/16 0:00,285000,3,1722,Average,Common Brick,Built Up,Hardwood,2,0,3000,9800.04,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,2473,0.016983421,0.957945815,0.002021836,0.001617469,0,0.026688233,0.022644561,0.71896482,1071,0.891690009,0.108309991,40708270,29122
384,2,Y,1,8,2,0,2/22/16 0:00,801600,3,1536,Average,Common Brick,Metal- Sms,Hardwood,1,0,1800,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94562781,3255,0.568049155,0.276804916,0.005529954,0.048233487,0.000614439,0.102918587,0.151152074,0.910291859,2084,0.932341651,0.067658349,200919104,65979
385,1.5,Y,1,5,2,1,2/22/16 0:00,570900,6,840,Good,Common Brick,Built Up,Hardwood/Carp,1,0,809,10600,0,0,0,0,0,0,0,0,0,0,0,0,2.094486342,4.188972684,3933,0.412916349,0.5064836,0.003813883,0.032036613,0,0.053902873,0.045003814,0.863717264,1927,0.866632071,0.133367929,313701867,58798.5
386,4,Y,4,16,8,0,2/22/16 0:00,860000,4,2732,Average,Common Brick,Metal- Sms,Hardwood,4,0,3394,10600,0,0,0,0,0,0,0,0,0,0,0,0,2.094486342,4.188972684,3933,0.412916349,0.5064836,0.003813883,0.032036613,0,0.053902873,0.045003814,0.863717264,1927,0.866632071,0.133367929,313701867,58798.5
387,3.5,Y,2,9,4,1,2/22/16 0:00,765000,5,1400,Good,Common Brick,Neopren,Wood Floor,2,0,1488,7100,0,0,0,0,0,0,0,0,0,0.5,0,0,0,3.541620522,2911,0.335623497,0.585022329,0.005152868,0.024733768,0,0.053589832,0.054276881,0.786327722,1461,0.918548939,0.081451061,100613150,49413.5
388,1.5,Y,1,6,3,1,2/22/16 0:00,770000,2,1644,Good,Common Brick,Built Up,Hardwood,1,1,735,8000.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3031,0.548333883,0.382052128,0.001979545,0.024414385,0.000989772,0.044209832,0.037611349,0.862421643,1644,0.898418491,0.101581509,173685028,80922
389,4.5,Y,1,7,3,1,2/22/16 0:00,921500,7,2070,Average,Common Brick,Comp Shingle,Hardwood,1,1,2692,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5911,0.8250719,0.10878024,0.001184233,0.024530536,0.000338352,0.044154965,0.051429538,0.739468787,2126,0.97883349,0.02116651,623341016,165589
390,2.5,N,1,8,3,1,2/22/16 0:00,462000,4,1448,Good,Common Brick,Built Up,Hardwood,1,1,2768,1900.02,0,0,0,0,0,0.666666667,0,0.333333333,0,0.5,0,0.75,0,0,1969,0.120365668,0.780599289,0.001015744,0.012188928,0,0.100558659,0.090909091,0.825292026,861,0.93728223,0.06271777,71508164,51168
391,3,N,1,6,3,0,2/22/16 0:00,425000,3,952,Average,Common Brick,Built Up,Hardwood,1,0,1778,9200.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2557,0.066484161,0.806413766,0.009777083,0.005475166,0,0.118889323,0.12436449,0.793116934,1369,0.943754565,0.056245435,37791141,28475
392,2,Y,1,7,3,1,2/22/16 0:00,429000,3,1024,Good,Common Brick,Built Up,Hardwood,1,0,1630,9500.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2630,0.05513308,0.864638783,0.001140684,0.009505703,0.002281369,0.07756654,0.076425856,0.835361217,1217,0.935086278,0.064913722,105022944,46330
393,2,Y,1,6,3,0,2/22/16 0:00,575000,3,1720,Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1,1,7005,9300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3143,0.311485842,0.609290487,0.004454343,0.022589882,0,0.058542794,0.070314986,0.832643971,1230,0.944715447,0.055284553,124565445,57282.5
394,3.5,Y,1,8,3,1,2/22/16 0:00,384000,4,1343,Good,Stone/Siding,Metal- Sms,Hardwood,1,0,2500,7800.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2922,0.019849418,0.947296372,0.003080082,0.001368925,0,0.034565366,0.029431896,0.728610541,1339,0.847647498,0.152352502,48307774,28461
395,2,Y,1,6,4,1,2/22/16 0:00,284500,4,728,Good,Common Brick,Comp Shingle,Hardwood/Carp,1,0,4000,9900.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243,0.028087383,0.916183683,0.003566652,0.00312082,0,0.056174766,0.072224699,0.689255461,1137,0.768689534,0.231310466,38243219,29601.5
396,1.5,Y,1,7,3,1,2/22/16 0:00,389000,4,1284,Very Good,Common Brick,Metal- Sms,Hardwood,1,0,1681,7600.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4355,0.032146958,0.943513203,0.001607348,0.004822044,0,0.026865672,0.014006889,0.783237658,2196,0.844717668,0.155282332,82541867,30846
397,1,Y,1,7,3,1,2/22/16 0:00,270000,3,1152,Very Good,Common Brick,Built Up,Hardwood,1,0,4297,9800.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,0.01015873,0.968888889,0.001904762,0.003174603,0,0.020952381,0.016507937,0.698412698,766,0.88381201,0.11618799,19288881,24214
398,3,Y,1,6,3,0,2/23/16 0:00,727042,4,868,Good,Common Brick,Built Up,Hardwood,1,0,1309,4900.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2087,0.379971251,0.515093436,0.006708194,0.045040728,0.000479157,0.058936272,0.08528989,0.812649736,1094,0.887568556,0.112431444,136442151,59090
399,1.5,Y,1,4,2,1,2/23/16 0:00,975000,4,990,Good,Stone,Metal- Sms,Hardwood,1,1,1390,200.02,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,2.098089151,0,5425,0.867281106,0.029308756,0.000921659,0.069124424,0.000552995,0.032995392,0.063225806,0.932903226,2143,0.902006533,0.097993467,429158437,115586
400,2,Y,1,6,3,0,2/23/16 0:00,820000,2,1044,Good,Common Brick,Metal- Sms,Hardwood,2,0,2250,300,0,0,0,0,0,0,0,0,0,0,0,0,2.533617943,0,6233,0.881918819,0.022300658,0.0017648,0.056473608,0.000160436,0.039467351,0.0648163,0.889138457,2912,0.945741758,0.054258242,358002514,70413
401,2.5,Y,1,9,3,0,2/23/16 0:00,820000,3,1308,Average,Stone,Slate,Hardwood,1,1,2601,800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2869,0.833042872,0.037295225,0.001394214,0.080864413,0.000697107,0.047403276,0.080515859,0.84977344,1423,0.93886156,0.06113844,379610865,94907
402,4,Y,1,10,4,1,2/23/16 0:00,1501000,3,2482,Very Good,Wood Siding,Comp Shingle,Hardwood,1,1,6375,1400.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3078,0.825536062,0.05782976,0.001624431,0.064327485,0,0.053281352,0.068226121,0.785899935,1478,0.957374831,0.042625169,298582687,96830.5
403,4.5,Y,1,11,5,0,2/23/16 0:00,1172000,2,3634,Good,Brick/Siding,Comp Shingle,Hardwood/Carp,2,4,4320,1400.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2998,0.778519013,0.118745831,0.001667779,0.053368913,0,0.051367578,0.077384923,0.815877252,1612,0.913151365,0.086848635,226932847,122810
404,3.5,Y,1,10,4,0,2/23/16 0:00,1200000,2,2534,Very Good,Wood Siding,Comp Shingle,Hardwood,1,2,7500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5911,0.8250719,0.10878024,0.001184233,0.024530536,0.000338352,0.044154965,0.051429538,0.739468787,2126,0.97883349,0.02116651,623341016,165589
405,3,Y,1,7,4,1,2/23/16 0:00,642000,6,1848,Good,Brick/Stone,Built Up,Hardwood,1,1,1840,1800.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4480,0.122544643,0.665848214,0.004464286,0.011383929,0,0.190848214,0.2703125,0.772544643,1924,0.941787942,0.058212058,109529081,28093.5
406,2.5,Y,1,8,5,1,2/23/16 0:00,910000,3,1756,Good,Common Brick,Built Up,Hardwood/Carp,2,1,1534,3300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3198,0.299874922,0.624765478,0.002188868,0.019387117,0.001250782,0.067229518,0.039086929,0.884302689,1578,0.890367554,0.109632446,152461285,64468
407,1,N,1,7,3,0,2/23/16 0:00,310000,2,1416,Average,Stucco,Metal- Sms,Wood Floor,1,0,2504,7500.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425,0.016082474,0.95628866,0.003298969,0.002474227,0,0.029690722,0.015257732,0.676701031,1000,0.857,0.143,34675207,23658
408,1,N,1,7,3,0,2/24/16 0:00,1000000,2,1618,Average,Common Brick,Metal- Sms,Hardwood,1,1,1742,5500,0,1,1,1,1,1,0,0,0.5,0.5,0.5,0.5,16.25133535,0,6671,0.769749663,0.09413881,0.002698246,0.088442512,0.000149903,0.046919502,0.073901964,0.970769,4983,0.839855509,0.160144491,536412412,81726
409,5.5,Y,2,8,5,1,2/24/16 0:00,570000,4,1986,Average,Common Brick,Built Up,Hardwood,2,0,1727,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3028,0.269484808,0.648612946,0.000990753,0.032034346,0,0.058784676,0.072985469,0.837846764,1465,0.86552901,0.13447099,109132266,46092.5
410,2,Y,1,7,3,1,2/24/16 0:00,955000,3,1400,Good,Common Brick,Metal- Sms,Hardwood,1,0,2281,300,0,0,0,0,0,0,0,0,0,0,0,0,2.533617943,0,6233,0.881918819,0.022300658,0.0017648,0.056473608,0.000160436,0.039467351,0.0648163,0.889138457,2912,0.945741758,0.054258242,358002514,70413
411,1.5,Y,1,6,3,1,2/24/16 0:00,550000,2,1512,Good,Common Brick,Metal- Sms,Hardwood,1,0,2025,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4913,0.226745369,0.593730918,0.004477916,0.018725829,0.000203542,0.155098718,0.24180745,0.805414207,1840,0.907065217,0.092934783,139048784,35833.5
412,3.5,Y,1,8,4,1,2/24/16 0:00,679000,3,1360,Very Good,Common Brick,Built Up,Hardwood,1,0,1906,9300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,0.185870479,0.702270816,0.009251472,0.016820858,0,0.100925147,0.105130362,0.805719092,545,0.844036697,0.155963303,38583475,40697.5
413,4,N,4,16,4,0,2/24/16 0:00,649000,2,2800,Good,Common Brick,Slate,Hardwood,4,0,2975,9500.04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3025,0.212561983,0.728595041,0.003305785,0.01322314,0,0.054545455,0.039669421,0.860495868,1354,0.926144756,0.073855244,92795105,48695.5
414,2.5,Y,1,10,3,1,2/24/16 0:00,600000,4,1520,Very Good,Common Brick,Metal- Sms,Hardwood,1,0,1688,8800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4119,0.074775431,0.875697985,0.007040544,0.008497208,0.000971109,0.041757708,0.041757708,0.801408109,1999,0.873436718,0.126563282,99751561,38882.5
415,2,N,1,8,3,1,2/24/16 0:00,650000,3,1520,Good,Common Brick,Metal- Sms,Hardwood,2,1,2475,9300.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3143,0.311485842,0.609290487,0.004454343,0.022589882,0,0.058542794,0.070314986,0.832643971,1230,0.944715447,0.055284553,124565445,57282.5
416,2,Y,1,7,4,0,2/24/16 0:00,449900,4,1322,Average,Vinyl Siding,Comp Shingle,Hardwood/Carp,1,0,5005,11100,0,0,0,0,0,1,0,1,0,0.166666667,0,0.166666667,0,0.427335794,4859,0.06626878,0.862728957,0.004939288,0.003087055,0.000205804,0.07470673,0.069355835,0.811895452,1868,0.924518201,0.075481799,122414153,42315
417,3,Y,1,7,3,0,2/24/16 0:00,382029,3,1232,Very Good,Vinyl Siding,Comp Shingle,Hardwood/Carp,1,0,768,9600.02,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3280,0.007317073,0.965243902,0.002743902,0.000914634,0,0.032012195,0.012195122,0.697256098,1545,0.935275081,0.064724919,45174162,25037
418,2.5,Y,1,7,3,0,2/24/16 0:00,394575,3,1216,Very Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1,0,768,9600.02,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3280,0.007317073,0.965243902,0.002743902,0.000914634,0,0.032012195,0.012195122,0.697256098,1545,0.935275081,0.064724919,45174162,25037
419,2,Y,1,5,2,1,2/24/16 0:00,324500,3,1120,Very Good,Common Brick,Built Up,Hardwood,1,0,2875,9900.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851,0.009184225,0.958400864,0.001620746,0.001080497,0,0.04376013,0.016207455,0.733657482,722,0.891966759,0.108033241,40012643,36360.5
420,3,Y,1,7,4,1,2/24/16 0:00,480000,4,1802,Average,Brick/Stone,Comp Shingle,Hardwood/Carp,1,1,8511,7600.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3644,0.040614709,0.936059276,0.002744237,0.002744237,0.000274424,0.024698134,0.016190999,0.818331504,1931,0.906266183,0.093733817,94079938,38093.5
421,2.5,Y,1,6,3,1,2/24/16 0:00,377500,3,2043,Average,Common Brick,Comp Shingle,Wood Floor,1,1,1761,7600.03,0,0,0,0,0,0,0,0,0,0,0,0,2.111640312,0,4044,0.060336301,0.901335312,0.006429278,0.004698318,0.00024728,0.036597428,0.022007913,0.823689416,2328,0.911082474,0.088917526,106625544,42402
422,2.5,N,1,9,6,0,2/25/16 0:00,743000,3,1446,Average,Common Brick,Built Up,Hardwood,1,0,1549,10600,0,0,0,0,0,0,0,0,0,0,0,0,2.094486342,4.188972684,3933,0.412916349,0.5064836,0.003813883,0.032036613,0,0.053902873,0.045003814,0.863717264,1927,0.866632071,0.133367929,313701867,58798.5
423,4.5,Y,1,15,6,1,2/25/16 0:00,2380000,4,2982,Good,Wood Siding,Comp Shingle,Hardwood,2,3,6621,1000.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3442,0.809994189,0.053747821,0.002033701,0.090354445,0,0.04706566,0.078733295,0.937245787,2342,0.891972673,0.108027327,144272959,79814.5
424,2,Y,1,6,2,0,2/25/16 0:00,710000,4,1200,Average,Common Brick,Comp Shingle,Hardwood,1,1,1986,1400.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2998,0.778519013,0.118745831,0.001667779,0.053368913,0,0.051367578,0.077384923,0.815877252,1612,0.913151365,0.086848635,226932847,122810
425,3,Y,1,8,5,0,2/25/16 0:00,1100000,3,3868,Good,Wood Siding,Comp Shingle,Hardwood,1,3,4508,2700.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5233,0.540416587,0.244792662,0.005541754,0.052742213,0.00038219,0.163004013,0.242499522,0.883432066,2845,0.933216169,0.066783831,226192119.8,47231
426,1.5,N,1,6,3,0,2/25/16 0:00,482210,4,1244,Average,Common Brick,Metal- Sms,Hardwood,1,0,1638,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3962,0.405350833,0.314487633,0.007319536,0.031549722,0.001261989,0.213780919,0.345784957,0.849066128,1643,0.881314668,0.118685332,158259296,36677
427,3.5,Y,1,6,3,1,2/25/16 0:00,729300,6,1080,Good,Common Brick,Built Up,Wood Floor,1,1,864,3300.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134,0.344423618,0.569821931,0.003280225,0.019212746,0,0.071696345,0.059981256,0.86972821,982,0.903258656,0.096741344,98091822,61645
428,3.5,Y,1,6,3,0,2/25/16 0:00,599995,2,1620,Excellent,Face Brick,Comp Shingle,Hardwood,1,0,1327,11100,0,0,0,0,0,1,0,1,0,0.166666667,0,0.166666667,0,0.427335794,4859,0.06626878,0.862728957,0.004939288,0.003087055,0.000205804,0.07470673,0.069355835,0.811895452,1868,0.924518201,0.075481799,122414153,42315
429,1,N,1,4,2,0,2/25/16 0:00,141750,5,761,Average,Wood Siding,Comp Shingle,Wood Floor,1,0,2500,7800.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2139,0.008415147,0.959794296,0.000935016,0.002337541,0,0.03599813,0.022907901,0.744740533,906,0.894039735,0.105960265,32933216,27008
430,1,Y,1,11,8,0,2/25/16 0:00,72000,5,1344,Fair,Stucco,Metal- Sms,Hardwood,1,0,2160,7500.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425,0.016082474,0.95628866,0.003298969,0.002474227,0,0.029690722,0.015257732,0.676701031,1000,0.857,0.143,34675207,23658
431,2,Y,2,7,3,0,2/25/16 0:00,270000,5,1332,Good,Common Brick,Metal- Sms,Hardwood,2,0,2500,9800.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758,0.008339376,0.973168963,0.001812908,0.001087745,0,0.025018129,0.010877447,0.725163162,1416,0.848163842,0.151836158,37398304,26262.5
432,1,Y,1,5,2,1,2/26/16 0:00,650000,4,858,Good,Common Brick,Metal- Sms,Hardwood,1,1,583,8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2918,0.861891707,0.053461275,0.004112406,0.039753256,0.0003427,0.042494859,0.045921864,0.916381083,1655,0.919637462,0.080362538,159931869,78676
433,1,N,1,6,2,0,2/26/16 0:00,585000,2,1100,Average,Common Brick,Built Up,Hardwood,1,0,1672,6800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2084,0.449616123,0.490403071,0.002879079,0.018234165,0,0.048464491,0.045105566,0.841650672,1004,0.917330677,0.082669323,117623354,70190
434,2.5,Y,1,5,2,0,2/26/16 0:00,790000,3,1284,Average,Common Brick,Comp Shingle,Hardwood,1,1,3176,800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2869,0.833042872,0.037295225,0.001394214,0.080864413,0.000697107,0.047403276,0.080515859,0.84977344,1423,0.93886156,0.06113844,379610865,94907
435,2,Y,1,7,3,0,2/26/16 0:00,720000,3,1000,Good,Common Brick,Comp Shingle,Hardwood,1,1,2702,800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2869,0.833042872,0.037295225,0.001394214,0.080864413,0.000697107,0.047403276,0.080515859,0.84977344,1423,0.93886156,0.06113844,379610865,94907
436,2.5,Y,1,8,3,1,2/26/16 0:00,815000,3,2640,Good,Common Brick,Clay Tile,Hardwood,1,1,3041,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166,0.422899354,0.473684211,0.002770083,0.030932595,0,0.079870729,0.068790397,0.838411819,1001,0.946053946,0.053946054,170973446,81819
437,1,Y,1,5,2,0,2/26/16 0:00,505000,5,954,Good,Common Brick,Built Up,Hardwood,1,0,1063,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2885,0.328942808,0.376429809,0.006239168,0.035008666,0,0.241247834,0.359445407,0.845407279,1131,0.892130858,0.107869142,109392822,39963
438,8,Y,4,10,8,1,2/26/16 0:00,670000,4,2548,Good,Common Brick,Metal- Sms,Wood Floor,4,0,1732,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4208,0.421340304,0.390922053,0.003089354,0.038260456,0,0.144486692,0.192252852,0.874524715,2308,0.860918544,0.139081456,178040405,46806
439,1,Y,1,6,3,0,2/26/16 0:00,569050,2,1140,Average,Common Brick,Built Up,Hardwood,1,0,1045,8700.01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2407,0.15953469,0.784378895,0.00166182,0.015787287,0.001246365,0.044869132,0.047361861,0.821769838,972,0.898148148,0.101851852,86810333,44960
440,3.5,Y,1,8,4,0,2/26/16 0:00,558189,2,1384,Very Good,Common Brick,Comp Shingle,Hardwood,1,0,1452,9500.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2630,0.05513308,0.864638783,0.001140684,0.009505703,0.002281369,0.07756654,0.076425856,0.835361217,1217,0.935086278,0.064913722,105022944,46330
441,3,Y,1,7,4,1,2/26/16 0:00,640000,3,1456,Good,Vinyl Siding,Comp Shingle,Hardwood,1,1,4064,9500.04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3025,0.212561983,0.728595041,0.003305785,0.01322314,0,0.054545455,0.039669421,0.860495868,1354,0.926144756,0.073855244,92795105,48695.5
442,1.5,Y,1,5,3,0,2/26/16 0:00,294000,2,1168,Good,Brick/Siding,Comp Shingle,Hardwood,1,0,4697,9900.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851,0.009184225,0.958400864,0.001620746,0.001080497,0,0.04376013,0.016207455,0.733657482,722,0.891966759,0.108033241,40012643,36360.5
443,1,N,1,6,3,0,2/29/16 0:00,575000,2,1168,Average,Common Brick,Built Up,Hardwood/Carp,1,0,1600,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3028,0.269484808,0.648612946,0.000990753,0.032034346,0,0.058784676,0.072985469,0.837846764,1465,0.86552901,0.13447099,109132266,46092.5
444,2.5,Y,1,6,3,0,2/29/16 0:00,904000,2,1460,Good,Common Brick,Metal- Sms,Hardwood,1,1,1941,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909,0.899947617,0.030382399,0.005762179,0.036668413,0.000523834,0.02933473,0.040859089,0.880041907,1143,0.888888889,0.111111111,138452048,90957
445,1.5,Y,1,5,2,1,2/29/16 0:00,350000,6,768,Average,Common Brick,Built Up,Hardwood,1,0,660,8400.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,0.302887844,0.643384822,0.002686367,0.0161182,0.002014775,0.035594359,0.047683009,0.82740094,681,0.886930984,0.113069016,71052704,58733
446,3.5,Y,1,8,4,1,2/29/16 0:00,990000,3,1604,Very Good,Common Brick,Metal- Sms,Hardwood,1,1,1360,6800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2084,0.449616123,0.490403071,0.002879079,0.018234165,0,0.048464491,0.045105566,0.841650672,1004,0.917330677,0.082669323,117623354,70190
447,2,Y,1,6,3,1,2/29/16 0:00,755000,4,1038,Good,Common Brick,Metal- Sms,Hardwood,2,0,2621,1400.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2998,0.778519013,0.118745831,0.001667779,0.053368913,0,0.051367578,0.077384923,0.815877252,1612,0.913151365,0.086848635,226932847,122810
448,3,Y,1,8,4,0,2/29/16 0:00,975000,3,1815,Good,Common Brick,Slate,Hardwood,1,2,7500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5911,0.8250719,0.10878024,0.001184233,0.024530536,0.000338352,0.044154965,0.051429538,0.739468787,2126,0.97883349,0.02116651,623341016,165589
